Global Variable Usage Frequency (All Globals)
================================================================================

DAT_0e3d4160         :    1 uses
DAT_0e210e90         :    1 uses
DAT_0e3d331c         :    1 uses
DAT_0e3d8f04         :    1 uses
DAT_0e3d4f98         :    1 uses
DAT_0e3d616c         :    1 uses
DAT_100176e4         :    1 uses
DAT_0fb51f00         :    1 uses
DAT_0f6d16fc         :    1 uses
DAT_0f6d07d4         :    1 uses
DAT_0fb52720         :    1 uses
DAT_10009e44         :    1 uses
